Año,Trimestre,Provincia,Accesos por cada 100 hogares
1970-01-01 00:00:00.000002018,4,Santa Cruz,"23,69"
1970-01-01 00:00:00.000002018,4,Santa Fe,"65,59"
1970-01-01 00:00:00.000002018,4,Santiago Del Estero,"37,4"
1970-01-01 00:00:00.000002018,4,Tierra Del Fuego,"93,59"
1970-01-01 00:00:00.000002018,4,Tucumán,"41,76"
1970-01-01 00:00:00.000002018,3,Buenos Aires,"64,44"
1970-01-01 00:00:00.000002018,3,Capital Federal,"108,45"
1970-01-01 00:00:00.000002018,3,Catamarca,"32,92"
1970-01-01 00:00:00.000002018,3,Chaco,"32,28"
1970-01-01 00:00:00.000002018,3,Chubut,"56,39"
1970-01-01 00:00:00.000002018,3,Córdoba,"64,24"
1970-01-01 00:00:00.000002018,3,Corrientes,"34,25"
1970-01-01 00:00:00.000002018,3,Entre Ríos,"50,22"
1970-01-01 00:00:00.000002018,3,Formosa,"29,58"
1970-01-01 00:00:00.000002018,3,Jujuy,"23,26"
1970-01-01 00:00:00.000002018,3,La Pampa,"71,75"
1970-01-01 00:00:00.000002018,3,La Rioja,"50,73"
1970-01-01 00:00:00.000002018,3,Mendoza,"37,99"
1970-01-01 00:00:00.000002018,3,Misiones,"32,1"
1970-01-01 00:00:00.000002018,3,Neuquén,"60,49"
1970-01-01 00:00:00.000002018,3,Río Negro,"50,54"
1970-01-01 00:00:00.000002018,3,Salta,"39,43"
1970-01-01 00:00:00.000002018,3,San Juan,"33,05"
1970-01-01 00:00:00.000002018,3,San Luis,"52,35"
1970-01-01 00:00:00.000002018,3,Santa Cruz,"32,73"
1970-01-01 00:00:00.000002018,3,Santa Fe,"63,41"
1970-01-01 00:00:00.000002018,3,Santiago Del Estero,"36,25"
1970-01-01 00:00:00.000002018,3,Tierra Del Fuego,"92,77"
1970-01-01 00:00:00.000002018,3,Tucumán,"41,68"
1970-01-01 00:00:00.000002018,2,Buenos Aires,"62,78"
1970-01-01 00:00:00.000002018,2,Capital Federal,"106,53"
1970-01-01 00:00:00.000002018,2,Catamarca,"32,86"
1970-01-01 00:00:00.000002018,2,Chaco,"31,25"
1970-01-01 00:00:00.000002018,2,Chubut,"54,9"
1970-01-01 00:00:00.000002018,2,Córdoba,"63,27"
1970-01-01 00:00:00.000002018,2,Corrientes,"33,81"
1970-01-01 00:00:00.000002018,2,Entre Ríos,"49,2"
1970-01-01 00:00:00.000002018,2,Formosa,"29,43"
1970-01-01 00:00:00.000002018,2,Jujuy,"23,43"
1970-01-01 00:00:00.000002018,2,La Pampa,"71,04"
1970-01-01 00:00:00.000002018,2,La Rioja,"50,98"
1970-01-01 00:00:00.000002018,2,Mendoza,"36,97"
1970-01-01 00:00:00.000002018,2,Misiones,"31,63"
1970-01-01 00:00:00.000002018,2,Neuquén,"60,24"
1970-01-01 00:00:00.000002018,2,Río Negro,"50,15"
1970-01-01 00:00:00.000002018,2,Salta,"39,94"
1970-01-01 00:00:00.000002018,2,San Juan,"32,95"
1970-01-01 00:00:00.000002018,2,San Luis,"15,15"
1970-01-01 00:00:00.000002018,2,Santa Cruz,"33,33"
1970-01-01 00:00:00.000002018,2,Santa Fe,"62,57"
1970-01-01 00:00:00.000002018,2,Santiago Del Estero,"35,26"
1970-01-01 00:00:00.000002018,2,Tierra Del Fuego,"91,61"
1970-01-01 00:00:00.000002018,2,Tucumán,"41,51"
1970-01-01 00:00:00.000002018,1,Buenos Aires,"62,63"
1970-01-01 00:00:00.000002018,1,Capital Federal,"106,24"
1970-01-01 00:00:00.000002018,1,Catamarca,"32,79"
1970-01-01 00:00:00.000002018,1,Chaco,"30,83"
1970-01-01 00:00:00.000002018,1,Chubut,"53,72"
1970-01-01 00:00:00.000002018,1,Córdoba,"63,52"
1970-01-01 00:00:00.000002018,1,Corrientes,"32,66"
1970-01-01 00:00:00.000002018,1,Entre Ríos,"48,68"
1970-01-01 00:00:00.000002018,1,Formosa,"21,4"
1970-01-01 00:00:00.000002018,1,Jujuy,"23,12"
1970-01-01 00:00:00.000002018,1,La Pampa,"71,75"
1970-01-01 00:00:00.000002018,1,La Rioja,"51,44"
1970-01-01 00:00:00.000002018,1,Mendoza,"37,07"
1970-01-01 00:00:00.000002018,1,Misiones,"30,96"
1970-01-01 00:00:00.000002018,1,Neuquén,"61,52"
1970-01-01 00:00:00.000002018,1,Río Negro,"49,82"
1970-01-01 00:00:00.000002018,1,Salta,"39,78"
1970-01-01 00:00:00.000002018,1,San Juan,"32,61"
1970-01-01 00:00:00.000002018,1,San Luis,"15,15"
1970-01-01 00:00:00.000002018,1,Santa Cruz,"33,55"
1970-01-01 00:00:00.000002018,1,Santa Fe,"62,28"
1970-01-01 00:00:00.000002018,1,Santiago Del Estero,"34,99"
1970-01-01 00:00:00.000002018,1,Tierra Del Fuego,"65,2"
1970-01-01 00:00:00.000002018,1,Tucumán,"41,18"
1970-01-01 00:00:00.000002017,4,Buenos Aires,"57,61"
1970-01-01 00:00:00.000002017,4,Capital Federal,"122,9"
1970-01-01 00:00:00.000002017,4,Catamarca,"28,62"
1970-01-01 00:00:00.000002017,4,Chaco,"30,81"
1970-01-01 00:00:00.000002017,4,Chubut,"51,46"
1970-01-01 00:00:00.000002017,4,Córdoba,"63,33"
1970-01-01 00:00:00.000002017,4,Corrientes,"32,52"
1970-01-01 00:00:00.000002017,4,Entre Ríos,"47,89"
